source,record_id_or_url,title,year,doi,cited_by_count,type,search_topic
crossref,https://doi.org/10.1201/b22299-9,Our Project: Gameplay Animation,2019,10.1201/b22299-9,0,book-chapter,video game gameplay
crossref,https://doi.org/10.1201/9781003147893-13,Our Project: Gameplay Animation,2021,10.1201/9781003147893-13,0,book-chapter,video game gameplay
crossref,https://doi.org/10.55277/researchhub.vcne3r3k,video 18+ no mercy gameplay twitter no mercy game no mercy game twitter,2026,10.55277/researchhub.vcne3r3k,0,report,video game gameplay
crossref,https://doi.org/10.22215/etd/2024-16071,"Playful Environments: Sensory Engagement, Gameplay, and Movement in Video Game Design",,10.22215/etd/2024-16071,0,dissertation,video game gameplay
crossref,https://doi.org/10.1201/9781315401225-12,11 Reiteration of Themes and Gameplay Objectives,2016,10.1201/9781315401225-12,0,book-chapter,video game gameplay
crossref,https://doi.org/10.21275/ms241113094552,Essential Principles of Video Game Character Design: Impact of Bugs on Gameplay and User Engagement,2024,10.21275/ms241113094552,0,journal-article,video game gameplay
crossref,https://doi.org/10.7551/mitpress/7909.003.0008,"Gameplay, Genre, and the Functions of Game Audio",2008,10.7551/mitpress/7909.003.0008,0,book-chapter,video game gameplay
crossref,https://doi.org/10.4324/9781315179490-15,The Pace and Reach of Video Game Zombies,2019,10.4324/9781315179490-15,0,book-chapter,video game gameplay
crossref,https://doi.org/10.4324/9780203887660-12,In the Frame of the Magic Cycle: The Circle(s) of Gameplay,2008,10.4324/9780203887660-12,9,book-chapter,video game gameplay
crossref,https://doi.org/10.16995/bst.373,Performing Gameplay – A Study of Video Game Performance Workshops,2021,10.16995/bst.373,0,journal-article,video game gameplay
crossref,https://doi.org/10.37714/josam.vi0.96,Frequency Discrimination in Video Game Players During Gameplay of Different Game Genres: A case study,2022,10.37714/josam.vi0.96,0,journal-article,video game gameplay
crossref,https://doi.org/10.1093/oxfordhb/9780197556160.013.15,Musical Repetition and Predictive Gameplay in Rhythm Games,2024,10.1093/oxfordhb/9780197556160.013.15,0,book-chapter,video game gameplay
crossref,https://doi.org/10.4324/9781315179490-3,"Resurrecting ""Obsolete"" Video Game Techniques From Alone in the Dark and Resident Evil",2019,10.4324/9781315179490-3,0,book-chapter,video game gameplay
crossref,https://doi.org/10.4018/ijgbl.2012070102,Empirical Taxonomies of Gameplay Enjoyment,2012,10.4018/ijgbl.2012070102,41,journal-article,video game gameplay
crossref,https://doi.org/10.2139/ssrn.5263859,Patenting Video Gameplay,2025,10.2139/ssrn.5263859,0,posted-content,video game gameplay
crossref,https://doi.org/10.1201/9781003530282-5,Box Classification and Puzzle Logic in the Video Game Wilmot's Warehouse: Its Relation to Language and Semantics Categorization and Language in Wilmot's Warehouse Gameplay,2025,10.1201/9781003530282-5,0,book-chapter,video game gameplay
crossref,https://doi.org/10.1162/lmj_a_00002,"Free Play Meets Gameplay: iGotBand, a Video Game for Improvisers",2010,10.1162/lmj_a_00002,0,journal-article,video game gameplay
crossref,https://doi.org/10.1177/1046878114554185,Measuring Video Game Engagement Through Gameplay Reviews,2014,10.1177/1046878114554185,14,journal-article,video game gameplay
crossref,https://doi.org/10.56675/bvgiati_8,"Gameplay, biblical text, and what drives the prophet: How students turned call narratives into a video game",2025,10.56675/bvgiati_8,0,book-chapter,video game gameplay
crossref,https://doi.org/10.52842/conf.caadria.2015.785,Video Game Narratives: Beyond the Gameplay,2015,10.52842/conf.caadria.2015.785,0,proceedings-article,video game gameplay
crossref,https://doi.org/10.1037/e710332011-001,An Exploratory Study of the Effects of Collaboration During Video Gameplay on Math and Game Outcomes,2011,10.1037/e710332011-001,0,dataset,video game gameplay
crossref,https://doi.org/10.4018/ijgbl.2020040102,Can Video Gameplay Improve Undergraduates' Problem-Solving Skills?,2022,10.4018/ijgbl.2020040102,11,journal-article,video game gameplay
crossref,https://doi.org/10.1007/978-3-658-22681-7_8,Keeping It Real: Applying Realistic Periods of Gameplay to the Study of Recall and Recognition of In-Game Advertising in a Console Video Game,2018,10.1007/978-3-658-22681-7_8,0,book-chapter,video game gameplay
crossref,https://doi.org/10.1007/978-3-031-56156-6_7,Social Gameplay,2024,10.1007/978-3-031-56156-6_7,0,book-chapter,video game gameplay
crossref,https://doi.org/10.1109/cog60054.2024.10645554,Adaptive Audio to Player Actions and Gameplay: a New Video Game,2024,10.1109/cog60054.2024.10645554,0,proceedings-article,video game gameplay
crossref,https://doi.org/10.1016/j.neuroimage.2016.02.075,Identification of canonical neural events during continuous gameplay of an 8-bit style video game,2016,10.1016/j.neuroimage.2016.02.075,21,journal-article,video game gameplay
crossref,https://doi.org/10.17760/d20290248,Transforming PC platform gameplay experience onto a board game,,10.17760/d20290248,0,dissertation,video game gameplay
crossref,https://doi.org/10.1201/b10681-19,Introduction to Gameplay Systems,2009,10.1201/b10681-19,0,book-chapter,video game gameplay
crossref,https://doi.org/10.1201/b10681-20,Runtime Gameplay Foundation Systems,2009,10.1201/b10681-20,0,book-chapter,video game gameplay
crossref,https://doi.org/10.37419/lr.v9.i3.5,Protecting Video Game Gameplay Creators: A Two-Pronged Copyright Approach,2022,10.37419/lr.v9.i3.5,0,journal-article,video game gameplay
crossref,https://doi.org/10.1145/3649921.3650011,The NES Video-Music Database: A Dataset of Symbolic Video Game Music Paired with Gameplay Videos,2024,10.1145/3649921.3650011,2,proceedings-article,video game gameplay
crossref,https://doi.org/10.4324/9781315179490-2,"Zombies, Again? A Qualitative Analysis of the Zombie Antagonist's Appeal in Game Design",2019,10.4324/9781315179490-2,0,book-chapter,video game gameplay
crossref,https://doi.org/10.5840/pcw20172416,Only a Game?,2017,10.5840/pcw20172416,0,journal-article,video game gameplay
crossref,https://doi.org/10.1145/2556288.2557283,Altering gameplay behavior using stereoscopic 3D vision-based video game design,2014,10.1145/2556288.2557283,12,proceedings-article,video game gameplay
crossref,https://doi.org/10.1007/978-1-4842-2122-8_3,Gameplay,2016,10.1007/978-1-4842-2122-8_3,0,book-chapter,video game gameplay
crossref,https://doi.org/10.3389/fspor.2024.1520202,Gameplay and physical activity behaviors in adult video game players,2025,10.3389/fspor.2024.1520202,5,journal-article,video game gameplay
crossref,https://doi.org/10.33140/jrar.04.02.05,AI-powered Badminton Video Detection: Enhancing Gameplay Analysis and Training,2023,10.33140/jrar.04.02.05,2,journal-article,video game gameplay
crossref,https://doi.org/10.1201/9781315106946-18,Part IV. Gameplay,2014,10.1201/9781315106946-18,0,book-chapter,video game gameplay
crossref,https://doi.org/10.1123/jege.2025-0045,The Relationship Between Gameplay and Leisure-Time Physical Activity in Adult Video Game Players,2026,10.1123/jege.2025-0045,0,journal-article,video game gameplay
crossref,https://doi.org/10.1201/b10692-15,Gameplay Scripting,2006,10.1201/b10692-15,0,book-chapter,video game gameplay
crossref,https://doi.org/10.26503/dl.v2026i1.2743,Gameplay Beyond the Game: The Temporal Structures in Gacha Game Participation,2026,10.26503/dl.v2026i1.2743,0,proceedings-article,video game gameplay
crossref,https://doi.org/10.1201/b10692-12,Gameplay Classes,2006,10.1201/b10692-12,0,book-chapter,video game gameplay
crossref,https://doi.org/10.4135/9781446211410.n5,"Digital Game Players, Game Pleasures and Play Contexts",2006,10.4135/9781446211410.n5,0,book-chapter,video game gameplay
crossref,https://doi.org/10.7551/mitpress/9052.003.0004,Being a Game,2013,10.7551/mitpress/9052.003.0004,0,book-chapter,video game gameplay
crossref,https://doi.org/10.5749/9780816678334-004,2 Select Gameplay Mode,2010,10.5749/9780816678334-004,0,book-chapter,video game gameplay
crossref,https://doi.org/10.1201/9781315106946-20,15. Runtime Gameplay Foundation Systems,2014,10.1201/9781315106946-20,0,book-chapter,video game gameplay
crossref,https://doi.org/10.1201/9781315106946-19,14. Introduction to Gameplay Systems,2014,10.1201/9781315106946-19,0,book-chapter,video game gameplay
crossref,https://doi.org/10.1109/tg.2026.3729632/mm1,Gameplay Evolution: A Game Design Method Based on Evolutionary Theory_supp1-3729632.pdf,,10.1109/tg.2026.3729632/mm1,0,component,video game gameplay
crossref,https://doi.org/10.1109/scse49731.2020.9313016,Impact of metacognition and age group on contemporary video game interface and gameplay design,2020,10.1109/scse49731.2020.9313016,0,proceedings-article,video game gameplay
crossref,https://doi.org/10.5463/thesis.310,Traces of Violent Video Gameplay in Adolescent Development,,10.5463/thesis.310,0,dissertation,video game gameplay
crossref,https://doi.org/10.1201/9781003199250-6,Creating Scary Gameplay,2021,10.1201/9781003199250-6,0,book-chapter,video game gameplay
crossref,https://doi.org/10.7551/mitpress/15424.003.0009,Reflecting on Gameplay,2025,10.7551/mitpress/15424.003.0009,0,book-chapter,video game gameplay
crossref,https://doi.org/10.1515/9783110272451.53,3 Non-Unilinear Gameplay in Video Games,2013,10.1515/9783110272451.53,0,book-chapter,video game gameplay
crossref,https://doi.org/10.1201/b16725-48,A Rubber-Banding System for Gameplay and Race Management,2013,10.1201/b16725-48,0,book-chapter,video game gameplay
crossref,https://doi.org/10.5749/minnesota/9780816653348.003.0005,The Game of Life,2011,10.5749/minnesota/9780816653348.003.0005,0,book-chapter,video game gameplay
crossref,https://doi.org/10.32920/29882462,Crafting collaborative gameplay:  purposeful application of collaborative game design aspects,2026,10.32920/29882462,0,posted-content,video game gameplay
crossref,https://doi.org/10.2139/ssrn.6140987,"Game Analysis using Gameplay Design Patterns, MDA, and Machinations",2026,10.2139/ssrn.6140987,0,posted-content,video game gameplay
crossref,https://doi.org/10.32920/29882462.v1,Crafting collaborative gameplay:  purposeful application of collaborative game design aspects,2026,10.32920/29882462.v1,0,posted-content,video game gameplay
crossref,https://doi.org/10.1007/978-1-4842-9843-5_16,Testing Gameplay,2023,10.1007/978-1-4842-9843-5_16,0,book-chapter,video game gameplay
crossref,https://doi.org/10.36227/techrxiv.23708325,AI-powered Badminton Video Detection:  Enhancing Gameplay Analysis and Training,2023,10.36227/techrxiv.23708325,0,posted-content,video game gameplay
crossref,https://doi.org/10.26503/dl.v2025i3.2588,(Semi-)Peripheral Gameplay in Video Games,2025,10.26503/dl.v2025i3.2588,0,proceedings-article,video game gameplay
crossref,https://doi.org/10.1201/9781003632269-12,Utility AI and Emergent Gameplay,2026,10.1201/9781003632269-12,0,book-chapter,video game gameplay
crossref,https://doi.org/10.3726/978-3-0351-0667-1/16,"Divided by language, united by gameplay: an example of ludological game localization: Ornella Lepre",,10.3726/978-3-0351-0667-1/16,0,book-chapter,video game gameplay
crossref,https://doi.org/10.26503/dl.v2009i1.393,Gameplay Design Patterns for Game Dialogues,2009,10.26503/dl.v2009i1.393,3,proceedings-article,video game gameplay
