source,record_id_or_url,title,year,doi,cited_by_count,type,search_topic
crossref,https://doi.org/10.2139/ssrn.4099545,आभासी चलन आणि भारतीय अर्थव्यवस्था (Virtual Currency (Crypto Currency) and the Indian Economy),2022,10.2139/ssrn.4099545,0,posted-content,virtual economy inflation game currency
crossref,https://doi.org/10.12987/9780300187410-009,6. Currency and Confidence,2020,10.12987/9780300187410-009,0,book-chapter,virtual economy inflation game currency
crossref,https://doi.org/10.1525/9780520314092-006,V A Theory and Technique for Inter-Economy Cost Comparisons Under Inconvertible Currency,1965,10.1525/9780520314092-006,0,book-chapter,virtual economy inflation game currency
crossref,https://doi.org/10.2139/ssrn.4391050,"Regulation and Differences between Cryptocurrency, Stablecoin, Central Bank Digital Currency, e-Money, Virtual Currency, and In-Game Currency",2023,10.2139/ssrn.4391050,0,posted-content,virtual economy inflation game currency
crossref,https://doi.org/10.2307/jj.13167893.7,A Theory and Technique for Inter-Economy Cost Comparisons Under Inconvertible Currency,2024,10.2307/jj.13167893.7,0,book-chapter,virtual economy inflation game currency
crossref,https://doi.org/10.2139/ssrn.4391256,"The Regulation and Differences between Cryptocurrency, Stablecoin, Central Bank Digital Currency, E-Money, Virtual Currency, and In-Game Currency",2023,10.2139/ssrn.4391256,0,posted-content,virtual economy inflation game currency
crossref,https://doi.org/10.2139/ssrn.4384018,"The Regulation and Differences between Cryptocurrency, Stablecoin, Central Bank Digital Currency, E-Money, Virtual Currency, and In-Game Currency",2023,10.2139/ssrn.4384018,0,posted-content,virtual economy inflation game currency
crossref,https://doi.org/10.2139/ssrn.4391523,"The Regulation and Differences between Cryptocurrency, Stablecoin, Central Bank Digital Currency, E-Money, Virtual Currency, and In-Game Currency",2023,10.2139/ssrn.4391523,0,posted-content,virtual economy inflation game currency
crossref,https://doi.org/10.1086/261314,Inflation and Currency Reform,1985,10.1086/261314,15,journal-article,virtual economy inflation game currency
crossref,https://doi.org/10.2139/ssrn.4391265,"The Regulation and Differences between Cryptocurrency, Stablecoin, Central Bank Digital Currency, e-Money, Virtual Currency, and In-Game Currency",2023,10.2139/ssrn.4391265,0,posted-content,virtual economy inflation game currency
crossref,https://doi.org/10.12987/9780300187410-011,8. Wildcat Currency and the State,2020,10.12987/9780300187410-011,0,book-chapter,virtual economy inflation game currency
crossref,https://doi.org/10.2139/ssrn.6164351,Virtual Game Economies: A Study of Inflation in Online Games,2026,10.2139/ssrn.6164351,0,posted-content,virtual economy inflation game currency
crossref,https://doi.org/10.4324/9780429433559-3,"Inflation, Currency Depreciation and Reconstruction in Europe",2019,10.4324/9780429433559-3,1,book-chapter,virtual economy inflation game currency
crossref,https://doi.org/10.12987/9780300187410-004,1. Weirdly Normal: Virtual Economies and Virtual Money,2020,10.12987/9780300187410-004,0,book-chapter,virtual economy inflation game currency
