source,record_id_or_url,title,year,doi,cited_by_count,type,search_topic
openalex,https://openalex.org/W1561534144,Synthetic worlds: the business and culture of online games,2006,10.5860/choice.44-0126,1193,book-review,virtual economy inflation online games
openalex,https://openalex.org/W2101431782,Virtual Worlds: A First-Hand Account of Market and Society on the Cyberian Frontier,2002,10.2139/ssrn.294828,394,preprint,virtual economy inflation online games
openalex,https://openalex.org/W48842013,"Understanding ""Gold Farming"" and Real-Money Trading as the Intersection of Real and Virtual Economies",1970,10.4101/jvwr.v2i4.868,83,article,virtual economy inflation online games
openalex,https://openalex.org/W1576972043,Macroeconomic indicators in a virtual economy,2008,,11,article,virtual economy inflation online games
openalex,https://openalex.org/W141994778,Educating the Net Generation,2005,,2110,other,virtual economy inflation online games
openalex,https://openalex.org/W2749658239,Enabling Value Co-Creation in the Sharing Economy: The Case of Mobike,2017,10.3390/su9091504,182,article,virtual economy inflation online games
openalex,https://openalex.org/W159843310,The Value of Virtual Assets - The Role of Game Characters in MMOGs,2007,10.69864/ijbsam.2-1.8,71,article,virtual economy inflation online games
openalex,https://openalex.org/W2586885238,Online review helpfulness: Impact of reviewer profile image,2017,10.1016/j.dss.2017.02.001,230,article,virtual economy inflation online games
openalex,https://openalex.org/W2258710072,The digital agenda of virtual currencies: Can BitCoin become a global currency?,2016,10.1007/s10257-016-0304-0,142,article,virtual economy inflation online games
openalex,https://openalex.org/W2911739892,A Sustainability Innovation Experiential Learning Model for Virtual Reality Chemistry Laboratory: An Empirical Study with PLS-SEM and IPMA,2019,10.3390/su11041027,113,article,virtual economy inflation online games
openalex,https://openalex.org/W2775605881,Moneylab Reader: An Intervention in Digital Economy,2015,,104,book,virtual economy inflation online games
openalex,https://openalex.org/W4385210972,Brands are calling your AVATAR in Metaverse–A study to explore XR ‐based gamification marketing activities & consumer‐based brand equity in virtual world,2023,10.1002/cb.2214,198,article,virtual economy inflation online games
openalex,https://openalex.org/W3096686207,Presence Promotes Performance on a Virtual Spatial Cognition Task: Impact of Human Factors on Virtual Reality Assessment,2020,10.3389/frvir.2020.571713,74,article,virtual economy inflation online games
openalex,https://openalex.org/W4300961040,Metaverse-based virtual reality experience and endurance performance in sports economy: Mediating role of mental health and performance anxiety,2022,10.3389/fpubh.2022.991489,61,article,virtual economy inflation online games
openalex,https://openalex.org/W4391165018,Evolutionary game analysis of online game studios and online game companies participating in the virtual economy of online games,2024,10.1371/journal.pone.0296374,7,article,virtual economy inflation online games
openalex,https://openalex.org/W4226225860,Fusing Blockchain and AI With Metaverse: A Survey,2022,10.1109/ojcs.2022.3188249,556,article,virtual economy inflation online games
openalex,https://openalex.org/W2811690141,Assessment Strategies for Online Learning: Engagement and Authenticity,2018,10.15215/aupress/9781771992329.01,158,book,virtual economy inflation online games
openalex,https://openalex.org/W3126280743,Understanding and Predicting Students’ Entrepreneurial Intention through Business Simulation Games: A Perspective of COVID-19,2021,10.3390/su13041838,67,article,virtual economy inflation online games
openalex,https://openalex.org/W2256364449,Measuring aggregate production in a virtual economy using log data,2009,10.4101/jvwr.v2i3.631,20,article,virtual economy inflation online games
openalex,https://openalex.org/W2605389255,Bitcoin: An Innovative Alternative Digital Currency,2011,,403,article,virtual economy inflation online games
openalex,https://openalex.org/W48626146,The Play's the Thing: A Theory of Taxing Virtual Worlds,2007,10.2139/ssrn.980693,37,preprint,virtual economy inflation online games
openalex,https://openalex.org/W1253523179,Inflation Control in Virtual Economies,2015,,1,dissertation,virtual economy inflation online games
openalex,https://openalex.org/W4390810663,"The Impact of User-Generated Content, Social Interactions and virtual Economies on Metaverse Environments",2023,10.32734/jse.v1i2.13798,25,article,virtual economy inflation online games
openalex,https://openalex.org/W2049328409,The Predecessors of Bitcoin and Their Implications for the Prospect of Virtual Currencies,2015,10.1371/journal.pone.0123071,37,article,virtual economy inflation online games
openalex,https://openalex.org/W4401805335,Continuance intention toward VR games of intangible cultural heritage: A stimulus-organism-response perspective,2024,10.1007/s10055-024-01043-7,52,article,virtual economy inflation online games
openalex,https://openalex.org/W4211076363,Why do people shop online? A comprehensive framework of consumers’ online shopping intentions and behaviors,2022,10.1108/itp-12-2020-0867,99,article,virtual economy inflation online games
openalex,https://openalex.org/W1988512733,Using online search data to forecast new product sales,2011,10.1016/j.dss.2011.10.017,113,article,virtual economy inflation online games
openalex,https://openalex.org/W3084892112,The Impact of the COVID-19 Pandemic on the U.S. Economy: Evidence from the Stock Market,2020,10.3390/jrfm13100233,81,article,virtual economy inflation online games
openalex,https://openalex.org/W3124780542,"Truck, barter and exchange versus the endowment effect: Virtual field experiments in an online game environment",2012,10.1016/j.joep.2011.12.011,25,article,virtual economy inflation online games
openalex,https://openalex.org/W4312474588,Healthcare in Metaverse: A Survey on Current Metaverse Applications in Healthcare,2022,10.1109/access.2022.3219845,345,article,virtual economy inflation online games
openalex,https://openalex.org/W3125691967,"It's Just a Game, Or Is It? Real Money, Real Income, and Real Taxes in Virtual Worlds",2007,,39,article,virtual economy inflation online games
openalex,https://openalex.org/W3009046412,"What predicts esports betting? A study on consumption of video games, esports, gambling and demographic factors",2020,10.1177/1461444820908510,54,article,virtual economy inflation online games
openalex,https://openalex.org/W3192275422,Virtual Worlds,2008,10.1007/s12599-008-0016-1,19,article,virtual economy inflation online games
openalex,https://openalex.org/W4383710211,Close to the metal: Towards a material political economy of the epistemology of computation,2023,10.1177/03063127231185095,39,article,virtual economy inflation online games
openalex,https://openalex.org/W4402200074,Enhancing User Participation in Cultural Heritage through Serious Games: Combining Perspectives from the Experience Economy and SOR Theory,2024,10.3390/su16177608,22,article,virtual economy inflation online games
openalex,https://openalex.org/W3119676664,"Understanding anthropomorphism in service provision: a meta-analysis of physical robots, chatbots, and other AI",2021,10.1007/s11747-020-00762-y,1164,review,virtual economy inflation online games
openalex,https://openalex.org/W154635642,An Unexpected Font of Folklore: Online Gaming as Occupational Lore,2011,,20,article,virtual economy inflation online games
openalex,https://openalex.org/W2160063414,The (A)Political Economy of Bitcoin,1970,10.31269/triplec.v12i2.606,36,article,virtual economy inflation online games
openalex,https://openalex.org/W4403436349,The Metaverse Virtual Economy: A Comprehensive Overview,2024,10.33206/mjss.1350087,9,article,virtual economy inflation online games
